task_type,input_token_length,output_token_length,domain,multimodal,structured_input,numerical_reasoning,multi_turn_conversation,grounding_required,creativity_level,response_factuality,hallucination_rate,faithfulness_score,BLEU_score,ROUGE_score,accuracy_score,latency_ms,token_throughput,context_window,memory_usage_GB,cost_per_1K_tokens,on_prem_support,cloud_provider,gpu_availability,fine_tuning_available,compliance_requirements,bias_score,LLM
Code Generation,46,202,Technical,0,1,0,0,1,5,2,0.116,0.829,0.223,0.915,0.573,457,265,4096,33.6,0.01656,0,Azure,1,1,HIPAA,0.595,Claude
Code Generation,904,1094,Medical,0,0,0,1,0,3,1,0.023,0.709,0.865,0.57,0.64,713,979,16384,34.5,0.00895,1,OpenAI,0,1,GDPR,0.933,Mistral
Classification,560,344,Finance,1,0,1,1,1,1,5,0.199,0.959,0.131,0.654,0.992,1208,911,16384,23.5,0.01584,0,AWS,1,1,HIPAA,0.446,GPT
Classification,349,568,Finance,0,0,0,1,1,1,3,0.253,0.767,0.296,0.504,0.886,1339,800,16384,26.6,0.00659,1,GCP,0,0,GDPR,0.954,Claude
Summarization,261,1757,General,1,1,1,1,1,2,1,0.084,0.758,0.618,0.16,0.803,272,118,16384,34.3,0.01144,1,OpenAI,1,1,None,0.558,Mistral
Text Generation,978,1130,Legal,0,1,0,0,1,2,3,0.217,0.638,0.166,0.981,0.954,1281,112,16384,36.6,0.01913,0,Azure,0,1,None,0.938,Claude
Text Generation,752,578,Legal,0,1,0,1,0,3,4,0.206,0.706,0.883,0.318,0.544,1494,955,16384,33.3,0.01277,0,OpenAI,1,0,HIPAA,0.919,GPT
Classification,163,36,Legal,0,1,1,0,1,2,3,0.129,0.832,0.542,0.817,0.762,122,102,4096,12.4,0.01328,1,AWS,1,0,HIPAA,0.748,GPT
Text Generation,780,682,Legal,1,1,1,0,1,3,2,0.265,0.601,0.828,0.573,0.836,628,355,8192,35.4,0.01431,1,OpenAI,1,0,HIPAA,0.664,Claude
QA,509,579,Legal,0,1,1,0,1,3,3,0.028,0.624,0.922,0.883,0.803,1221,14,4096,26.5,0.00511,1,AWS,0,0,None,0.802,Claude
Summarization,858,544,Medical,1,0,1,1,1,3,2,0.229,0.631,0.616,0.576,0.68,1107,354,4096,4.9,0.01828,1,OpenAI,0,0,None,0.921,Mistral
Code Generation,120,1717,Technical,0,1,1,1,1,4,4,0.166,0.804,0.537,0.898,0.816,478,679,8192,8.8,0.01397,0,OpenAI,0,0,HIPAA,0.298,GPT
Text Generation,580,1169,Finance,0,0,1,1,1,5,3,0.161,0.756,0.539,0.325,0.728,1264,468,16384,39.2,0.01964,0,Azure,0,0,HIPAA,0.985,GPT
Classification,355,1627,Medical,0,0,1,0,0,4,5,0.13,0.634,0.793,0.291,0.784,1112,588,8192,10.9,0.01964,0,OpenAI,0,0,HIPAA,0.3,GPT
