PID,prompt_length,complexity,data_type,module,num_tokens,num_sentences,lexical_diversity,readability,noun_ratio,verb_ratio,adjective_ratio,num_named_entities,contains_table,contains_list,redundancy_score,compression_ratio,contains_numbers,contains_chain_of_thought,contains_output_constraints,is_multi_turn,LLM
0,69,Medium,Tables,document_extraction,14,1,0.9285714285714286,9.5,0.2857142857142857,0.1428571428571428,0.0,2,False,False,1,4.928571428571429,False,False,False,False,Claude
1,69,Simple,Numerical Data,document_extraction,13,1,0.9230769230769232,9.2,0.2307692307692307,0.1538461538461538,0.0769230769230769,0,False,False,1,5.307692307692308,False,False,False,False,GPT
2,60,Complex,Graphs & Charts,document_extraction,12,1,0.8333333333333334,6.4,0.1666666666666666,0.1666666666666666,0.0,1,False,False,1,5.0,False,False,False,False,GPT
3,80,Simple,Dates & Timestamps,document_extraction,14,1,0.9285714285714286,8.0,0.2142857142857142,0.2142857142857142,0.0,0,False,False,1,5.714285714285714,False,False,False,False,GPT
4,71,Medium,Equations & Formulas,document_extraction,12,1,0.9166666666666666,9.9,0.25,0.1666666666666666,0.0,1,False,False,1,5.916666666666667,False,False,False,False,GPT
5,91,Medium,Tables,document_extraction,17,1,0.9411764705882352,10.3,0.1764705882352941,0.1764705882352941,0.0588235294117647,0,False,False,2,5.352941176470588,False,False,False,False,GPT
6,91,Medium,Numerical Data,document_extraction,16,1,1.0,12.3,0.1875,0.1875,0.0625,0,False,False,0,5.6875,False,False,False,False,GPT
7,70,Complex,Graphs & Charts,document_extraction,13,1,0.8461538461538461,6.8,0.2307692307692307,0.1538461538461538,0.0,0,False,False,1,5.384615384615385,False,False,False,False,GPT
8,74,Simple,Dates & Timestamps,document_extraction,14,1,0.8571428571428571,9.2,0.1428571428571428,0.2142857142857142,0.0,1,False,False,1,5.285714285714286,False,False,False,False,GPT
9,66,Medium,Equations & Formulas,document_extraction,11,1,0.9090909090909092,10.7,0.2727272727272727,0.1818181818181818,0.0,0,False,False,1,6.0,False,False,False,False,GPT
10,81,Medium,Tables,document_extraction,14,1,1.0,10.3,0.1428571428571428,0.2857142857142857,0.0,0,False,False,1,5.785714285714286,False,False,False,False,GPT
11,89,Simple,Numerical Data,document_extraction,15,1,1.0,14.3,0.2,0.2,0.1333333333333333,0,False,False,0,5.933333333333334,False,False,False,False,GPT
12,61,Complex,Graphs & Charts,document_extraction,13,1,0.8461538461538461,6.4,0.1538461538461538,0.1538461538461538,0.0,1,False,False,1,4.6923076923076925,False,False,False,False,GPT
13,66,Simple,Dates & Timestamps,document_extraction,12,1,0.9166666666666666,6.0,0.25,0.1666666666666666,0.0,0,False,False,1,5.5,False,False,False,False,GPT
14,62,Medium,Equations & Formulas,document_extraction,11,1,0.9090909090909092,8.4,0.2727272727272727,0.1818181818181818,0.0,0,False,False,1,5.636363636363637,False,False,False,False,GPT
15,76,Medium,Tables,document_extraction,14,1,0.9285714285714286,7.2,0.2142857142857142,0.1428571428571428,0.1428571428571428,0,False,False,2,5.428571428571429,False,False,False,False,GPT
16,79,Simple,Numerical Data,document_extraction,14,1,1.0,15.1,0.1428571428571428,0.2142857142857142,0.1428571428571428,1,False,False,0,5.642857142857143,False,False,False,False,GPT
17,66,Complex,Graphs & Charts,document_extraction,13,1,0.8461538461538461,6.4,0.2307692307692307,0.1538461538461538,0.0,0,False,False,1,5.076923076923077,False,False,False,False,GPT
18,63,Simple,Dates & Timestamps,document_extraction,11,1,0.9090909090909092,6.0,0.2727272727272727,0.1818181818181818,0.0,0,False,False,1,5.727272727272728,False,False,False,False,GPT
19,67,Medium,Equations & Formulas,document_extraction,12,1,0.9166666666666666,7.6,0.3333333333333333,0.1666666666666666,0.0,0,False,False,1,5.583333333333333,False,False,False,False,Mistral
20,80,Medium,Tables,document_extraction,14,1,1.0,10.3,0.1428571428571428,0.2857142857142857,0.0,0,False,False,1,5.714285714285714,False,False,False,False,GPT
21,59,Simple,Numerical Data,document_extraction,11,1,1.0,9.6,0.2727272727272727,0.1818181818181818,0.0909090909090909,0,False,False,0,5.363636363636363,False,False,False,False,GPT
22,66,Complex,Graphs & Charts,document_extraction,13,1,0.8461538461538461,6.4,0.2307692307692307,0.1538461538461538,0.0,0,False,False,1,5.076923076923077,False,False,False,False,GPT
23,58,Simple,Dates & Timestamps,document_extraction,11,1,0.9090909090909092,6.0,0.1818181818181818,0.1818181818181818,0.0,1,False,False,1,5.2727272727272725,False,False,False,False,GPT
24,71,Medium,Equations & Formulas,document_extraction,12,1,0.9166666666666666,9.9,0.25,0.1666666666666666,0.0,0,False,False,1,5.916666666666667,False,False,False,False,GPT
25,72,Medium,Tables,document_extraction,13,1,0.9230769230769232,8.8,0.2307692307692307,0.2307692307692307,0.0769230769230769,0,False,False,1,5.538461538461538,False,False,False,False,GPT
26,64,Simple,Numerical Data,document_extraction,11,1,1.0,13.1,0.1818181818181818,0.1818181818181818,0.0909090909090909,1,False,False,0,5.818181818181818,False,False,False,False,GPT
27,66,Complex,Graphs & Charts,document_extraction,13,1,0.8461538461538461,6.4,0.2307692307692307,0.1538461538461538,0.0,0,False,False,1,5.076923076923077,False,False,False,False,Claude
28,64,Simple,Dates & Timestamps,document_extraction,12,1,0.9166666666666666,4.0,0.3333333333333333,0.1666666666666666,0.0,0,False,False,1,5.333333333333333,False,False,False,False,GPT
29,66,Medium,Equations & Formulas,document_extraction,11,1,0.9090909090909092,10.7,0.2727272727272727,0.1818181818181818,0.0,0,False,False,1,6.0,False,False,False,False,GPT
30,70,Medium,Tables,document_extraction,13,1,0.9230769230769232,8.8,0.2307692307692307,0.2307692307692307,0.0769230769230769,0,False,False,1,5.384615384615385,False,False,False,False,GPT
31,79,Simple,Numerical Data,document_extraction,14,1,1.0,15.1,0.1428571428571428,0.2142857142857142,0.1428571428571428,1,False,False,0,5.642857142857143,False,False,False,False,Claude
32,66,Complex,Graphs & Charts,document_extraction,13,1,0.8461538461538461,6.4,0.2307692307692307,0.1538461538461538,0.0,0,False,False,1,5.076923076923077,False,False,False,False,GPT
33,69,Simple,Dates & Timestamps,document_extraction,12,1,0.9166666666666666,6.4,0.25,0.1666666666666666,0.0,1,False,False,1,5.75,False,False,False,False,GPT
34,67,Medium,Equations & Formulas,document_extraction,12,1,0.9166666666666666,7.6,0.3333333333333333,0.1666666666666666,0.0,0,False,False,1,5.583333333333333,False,False,False,False,GPT
35,70,Medium,Tables,document_extraction,13,1,0.9230769230769232,8.8,0.2307692307692307,0.2307692307692307,0.0769230769230769,0,False,False,1,5.384615384615385,False,False,False,False,Mistral
36,53,Simple,Numerical Data,document_extraction,10,1,1.0,12.7,0.1,0.2,0.1,1,False,False,0,5.3,False,False,False,False,GPT
37,66,Complex,Graphs & Charts,document_extraction,13,1,0.8461538461538461,6.4,0.2307692307692307,0.1538461538461538,0.0,0,False,False,1,5.076923076923077,False,False,False,False,GPT
38,68,Simple,Dates & Timestamps,document_extraction,12,1,0.9166666666666666,6.4,0.25,0.1666666666666666,0.0,0,False,False,1,5.666666666666667,False,False,False,False,GPT
39,62,Medium,Equations & Formulas,document_extraction,11,1,0.9090909090909092,8.4,0.2727272727272727,0.1818181818181818,0.0,0,False,False,1,5.636363636363637,False,False,False,False,GPT
40,73,Medium,Tables,document_extraction,13,1,0.9230769230769232,8.8,0.2307692307692307,0.2307692307692307,0.0769230769230769,0,False,False,1,5.615384615384615,False,False,False,False,GPT
41,64,Simple,Numerical Data,document_extraction,11,1,1.0,13.1,0.1818181818181818,0.1818181818181818,0.0909090909090909,1,False,False,0,5.818181818181818,False,False,False,False,GPT
42,66,Complex,Graphs & Charts,document_extraction,13,1,0.8461538461538461,6.4,0.2307692307692307,0.1538461538461538,0.0,0,False,False,1,5.076923076923077,False,False,False,False,GPT
43,64,Simple,Dates & Timestamps,document_extraction,12,1,0.9166666666666666,4.0,0.3333333333333333,0.1666666666666666,0.0,0,False,False,1,5.333333333333333,False,False,False,False,GPT
44,66,Medium,Equations & Formulas,document_extraction,11,1,0.9090909090909092,10.7,0.2727272727272727,0.1818181818181818,0.0,0,False,False,1,6.0,False,False,False,False,GPT
45,72,Medium,Tables,document_extraction,13,1,0.9230769230769232,8.8,0.2307692307692307,0.2307692307692307,0.0769230769230769,0,False,False,1,5.538461538461538,False,False,False,False,GPT
46,79,Simple,Numerical Data,document_extraction,14,1,1.0,15.1,0.1428571428571428,0.2142857142857142,0.1428571428571428,1,False,False,0,5.642857142857143,False,False,False,False,Mistral
47,66,Complex,Graphs & Charts,document_extraction,13,1,0.8461538461538461,6.4,0.2307692307692307,0.1538461538461538,0.0,0,False,False,1,5.076923076923077,False,False,False,False,GPT
48,69,Simple,Dates & Timestamps,document_extraction,12,1,0.9166666666666666,6.4,0.25,0.1666666666666666,0.0,1,False,False,1,5.75,False,False,False,False,llma
49,67,Medium,Equations & Formulas,document_extraction,12,1,0.9166666666666666,7.6,0.3333333333333333,0.1666666666666666,0.0,0,False,False,1,5.583333333333333,False,False,False,False,Claude
50,70,Medium,Tables,document_extraction,13,1,0.9230769230769232,8.8,0.2307692307692307,0.2307692307692307,0.0769230769230769,0,False,False,1,5.384615384615385,False,False,False,False,GPT
51,53,Simple,Numerical Data,document_extraction,10,1,1.0,12.7,0.1,0.2,0.1,1,False,False,0,5.3,False,False,False,False,Mistral
52,66,Complex,Graphs & Charts,document_extraction,13,1,0.8461538461538461,6.4,0.2307692307692307,0.1538461538461538,0.0,0,False,False,1,5.076923076923077,False,False,False,False,GPT
53,68,Simple,Dates & Timestamps,document_extraction,12,1,0.9166666666666666,6.4,0.25,0.1666666666666666,0.0,0,False,False,1,5.666666666666667,False,False,False,False,GPT
54,62,Medium,Equations & Formulas,document_extraction,11,1,0.9090909090909092,8.4,0.2727272727272727,0.1818181818181818,0.0,0,False,False,1,5.636363636363637,False,False,False,False,GPT
55,56,Simple,Numerical Data,quantitative_analysis,11,1,1.0,7.2,0.3636363636363636,0.1818181818181818,0.0,0,False,False,0,5.090909090909091,False,False,False,False,Claude
56,43,Simple,Numerical Data,quantitative_analysis,11,1,1.0,6.4,0.4545454545454545,0.1818181818181818,0.0,0,False,False,1,3.909090909090909,False,False,False,False,Claude
57,63,Simple,Numerical Data,quantitative_analysis,11,1,1.0,8.4,0.3636363636363636,0.0909090909090909,0.0,1,False,False,0,5.727272727272728,True,False,False,False,Claude
58,58,Medium,Numerical Data,quantitative_analysis,12,1,0.9166666666666666,7.6,0.3333333333333333,0.1666666666666666,0.0833333333333333,0,False,False,1,4.833333333333333,False,False,False,False,Claude
59,59,Medium,Numerical Data,quantitative_analysis,11,1,1.0,8.4,0.3636363636363636,0.0909090909090909,0.0,1,False,True,1,5.363636363636363,True,False,False,False,Claude
60,60,Medium,Numerical Data,quantitative_analysis,8,1,1.0,19.0,0.375,0.125,0.0,1,False,False,0,7.5,False,False,False,False,Claude
