task_type,input_token_length,output_token_length,domain,multimodal,structured_input,numerical_reasoning,multi_turn_conversation,grounding_required,creativity_level,response_factuality,hallucination_rate,faithfulness_score,BLEU_score,ROUGE_score,accuracy_score,latency_ms,token_throughput,context_window,memory_usage_GB,cost_per_1K_tokens,on_prem_support,cloud_provider,gpu_availability,fine_tuning_available,compliance_requirements,bias_score,LLM
Text Generation,253,1855,General,1,1,0,1,1,4,4,0.033,0.61,0.189,0.429,0.746,974,537,16384,38.2,0.0109,1,OpenAI,0,1,None,0.291,Mistral
Text Generation,816,510,Technical,0,1,1,1,1,5,4,0.071,0.71,0.611,0.626,0.583,1456,89,8192,38.9,0.00417,1,Azure,0,1,HIPAA,0.467,Claude
Classification,1017,426,Finance,0,1,0,1,0,1,2,0.045,0.979,0.762,0.825,0.894,1137,37,4096,4.7,0.00416,0,AWS,0,0,GDPR,0.66,Claude
QA,342,527,Legal,1,1,0,1,0,3,4,0.019,0.759,0.553,0.378,0.528,1049,849,4096,9.3,0.01713,0,GCP,1,1,HIPAA,0.925,GPT
Classification,599,54,General,0,1,1,0,1,1,1,0.278,0.789,0.618,0.896,0.76,1127,207,4096,36.7,0.00673,0,OpenAI,1,1,GDPR,0.467,Claude
Text Generation,614,1135,Legal,0,0,1,1,1,5,5,0.065,0.85,0.487,0.525,0.566,252,118,4096,20.3,0.01339,1,OpenAI,1,0,HIPAA,0.364,GPT
QA,729,1553,Legal,1,0,0,1,1,2,3,0.293,0.9,0.164,0.388,0.745,904,534,8192,28.3,0.00826,1,Azure,1,1,HIPAA,0.457,Mistral
Summarization,485,829,General,0,1,0,0,1,3,3,0.043,0.706,0.604,0.822,0.752,1048,912,8192,10.7,0.01123,1,GCP,0,1,HIPAA,0.395,Mistral
Code Generation,655,1914,Legal,0,0,0,1,1,4,4,0.197,0.83,0.672,0.705,0.556,543,730,4096,30.1,0.00421,0,Azure,0,1,GDPR,0.596,Claude
Classification,201,1717,Finance,1,0,1,1,0,1,3,0.131,0.748,0.592,0.431,0.876,903,275,16384,24.3,0.00406,0,OpenAI,0,1,HIPAA,0.284,Mistral
QA,589,416,Medical,0,0,1,1,1,3,1,0.259,0.88,0.873,0.525,0.575,1374,770,16384,16.3,0.01056,1,GCP,1,0,GDPR,0.378,Claude
Summarization,619,1422,Medical,1,0,1,1,0,3,1,0.252,0.91,0.148,0.62,0.979,1030,259,4096,24.2,0.01712,1,GCP,0,0,HIPAA,0.583,GPT
Text Generation,472,262,Medical,1,1,1,1,0,1,5,0.054,0.918,0.577,0.852,0.681,1458,253,16384,11.0,0.00865,0,OpenAI,1,1,None,0.38,Mistral
QA,788,734,Technical,1,0,1,0,0,5,4,0.064,0.907,0.698,0.494,0.742,148,480,8192,8.9,0.01143,1,GCP,0,1,None,0.866,Mistral
Code Generation,222,1540,Technical,0,1,0,0,1,3,1,0.169,0.882,0.185,0.177,0.891,1068,886,16384,37.6,0.01424,0,OpenAI,0,1,GDPR,0.215,Claude
Summarization,247,1640,Finance,1,0,1,0,1,5,2,0.23,0.927,0.755,0.262,0.597,494,365,4096,8.3,0.006,1,AWS,1,0,HIPAA,0.935,Mistral
Text Generation,986,463,Medical,0,1,1,0,1,1,2,0.172,0.957,0.132,0.55,0.768,1461,618,16384,8.5,0.01672,1,OpenAI,1,1,GDPR,0.712,Mistral
Summarization,655,148,General,0,0,0,0,0,5,3,0.224,0.696,0.605,0.315,0.512,122,364,16384,30.5,0.01999,0,AWS,1,1,None,0.343,Mistral
Text Generation,548,1726,Finance,0,0,1,1,1,3,4,0.242,0.685,0.794,0.65,0.582,525,651,4096,27.8,0.01937,1,OpenAI,0,0,HIPAA,0.141,Claude
QA,248,1516,Legal,1,1,1,1,1,2,5,0.112,0.697,0.736,0.183,0.911,304,87,4096,23.3,0.01702,1,OpenAI,1,0,None,0.416,GPT
