PID,prompt_length,complexity,data_type,module,num_tokens,num_sentences,lexical_diversity,readability,noun_ratio,verb_ratio,adjective_ratio,num_named_entities,contains_table,contains_list,redundancy_score,compression_ratio,contains_numbers,contains_chain_of_thought,contains_output_constraints,is_multi_turn
0,69,Medium,Tables,GPT,14,1,0.9285714285714286,9.5,0.2857142857142857,0.14285714285714285,0.0,2,False,False,1,4.928571428571429,False,False,False,False
1,69,Simple,Numerical Data,GPT,13,1,0.9230769230769231,9.2,0.23076923076923078,0.15384615384615385,0.07692307692307693,0,False,False,1,5.3076923076923075,False,False,False,False
2,60,Complex,Graphs & Charts,GPT,12,1,0.8333333333333334,6.4,0.16666666666666666,0.16666666666666666,0.0,1,False,False,1,5.0,False,False,False,False
3,80,Simple,Dates & Timestamps,GPT,14,1,0.9285714285714286,8.0,0.21428571428571427,0.21428571428571427,0.0,0,False,False,1,5.714285714285714,False,False,False,False
4,71,Medium,Equations & Formulas,GPT,12,1,0.9166666666666666,9.9,0.25,0.16666666666666666,0.0,1,False,False,1,5.916666666666667,False,False,False,False
5,91,Medium,Tables,GPT,17,1,0.9411764705882353,10.3,0.17647058823529413,0.17647058823529413,0.058823529411764705,0,False,False,2,5.352941176470588,False,False,False,False
6,91,Medium,Numerical Data,GPT,16,1,1.0,12.3,0.1875,0.1875,0.0625,0,False,False,0,5.6875,False,False,False,False
7,70,Complex,Graphs & Charts,GPT,13,1,0.8461538461538461,6.8,0.23076923076923078,0.15384615384615385,0.0,0,False,False,1,5.384615384615385,False,False,False,False
8,74,Simple,Dates & Timestamps,GPT,14,1,0.8571428571428571,9.2,0.14285714285714285,0.21428571428571427,0.0,1,False,False,1,5.285714285714286,False,False,False,False
9,66,Medium,Equations & Formulas,GPT,11,1,0.9090909090909091,10.7,0.2727272727272727,0.18181818181818182,0.0,0,False,False,1,6.0,False,False,False,False
10,81,Medium,Tables,GPT,14,1,1.0,10.3,0.14285714285714285,0.2857142857142857,0.0,0,False,False,1,5.785714285714286,False,False,False,False
11,89,Simple,Numerical Data,GPT,15,1,1.0,14.3,0.2,0.2,0.13333333333333333,0,False,False,0,5.933333333333334,False,False,False,False
12,61,Complex,Graphs & Charts,GPT,13,1,0.8461538461538461,6.4,0.15384615384615385,0.15384615384615385,0.0,1,False,False,1,4.6923076923076925,False,False,False,False
13,66,Simple,Dates & Timestamps,GPT,12,1,0.9166666666666666,6.0,0.25,0.16666666666666666,0.0,0,False,False,1,5.5,False,False,False,False
14,62,Medium,Equations & Formulas,GPT,11,1,0.9090909090909091,8.4,0.2727272727272727,0.18181818181818182,0.0,0,False,False,1,5.636363636363637,False,False,False,False
15,76,Medium,Tables,GPT,14,1,0.9285714285714286,7.2,0.21428571428571427,0.14285714285714285,0.14285714285714285,0,False,False,2,5.428571428571429,False,False,False,False
16,79,Simple,Numerical Data,GPT,14,1,1.0,15.1,0.14285714285714285,0.21428571428571427,0.14285714285714285,1,False,False,0,5.642857142857143,False,False,False,False
17,66,Complex,Graphs & Charts,GPT,13,1,0.8461538461538461,6.4,0.23076923076923078,0.15384615384615385,0.0,0,False,False,1,5.076923076923077,False,False,False,False
18,63,Simple,Dates & Timestamps,GPT,11,1,0.9090909090909091,6.0,0.2727272727272727,0.18181818181818182,0.0,0,False,False,1,5.7272727272727275,False,False,False,False
19,67,Medium,Equations & Formulas,GPT,12,1,0.9166666666666666,7.6,0.3333333333333333,0.16666666666666666,0.0,0,False,False,1,5.583333333333333,False,False,False,False
20,80,Medium,Tables,GPT,14,1,1.0,10.3,0.14285714285714285,0.2857142857142857,0.0,0,False,False,1,5.714285714285714,False,False,False,False
21,59,Simple,Numerical Data,GPT,11,1,1.0,9.6,0.2727272727272727,0.18181818181818182,0.09090909090909091,0,False,False,0,5.363636363636363,False,False,False,False
22,66,Complex,Graphs & Charts,GPT,13,1,0.8461538461538461,6.4,0.23076923076923078,0.15384615384615385,0.0,0,False,False,1,5.076923076923077,False,False,False,False
23,58,Simple,Dates & Timestamps,GPT,11,1,0.9090909090909091,6.0,0.18181818181818182,0.18181818181818182,0.0,1,False,False,1,5.2727272727272725,False,False,False,False
24,71,Medium,Equations & Formulas,GPT,12,1,0.9166666666666666,9.9,0.25,0.16666666666666666,0.0,0,False,False,1,5.916666666666667,False,False,False,False
25,72,Medium,Tables,GPT,13,1,0.9230769230769231,8.8,0.23076923076923078,0.23076923076923078,0.07692307692307693,0,False,False,1,5.538461538461538,False,False,False,False
26,64,Simple,Numerical Data,GPT,11,1,1.0,13.1,0.18181818181818182,0.18181818181818182,0.09090909090909091,1,False,False,0,5.818181818181818,False,False,False,False
27,66,Complex,Graphs & Charts,GPT,13,1,0.8461538461538461,6.4,0.23076923076923078,0.15384615384615385,0.0,0,False,False,1,5.076923076923077,False,False,False,False
28,64,Simple,Dates & Timestamps,GPT,12,1,0.9166666666666666,4.0,0.3333333333333333,0.16666666666666666,0.0,0,False,False,1,5.333333333333333,False,False,False,False
29,66,Medium,Equations & Formulas,GPT,11,1,0.9090909090909091,10.7,0.2727272727272727,0.18181818181818182,0.0,0,False,False,1,6.0,False,False,False,False
30,70,Medium,Tables,GPT,13,1,0.9230769230769231,8.8,0.23076923076923078,0.23076923076923078,0.07692307692307693,0,False,False,1,5.384615384615385,False,False,False,False
31,79,Simple,Numerical Data,GPT,14,1,1.0,15.1,0.14285714285714285,0.21428571428571427,0.14285714285714285,1,False,False,0,5.642857142857143,False,False,False,False
32,66,Complex,Graphs & Charts,GPT,13,1,0.8461538461538461,6.4,0.23076923076923078,0.15384615384615385,0.0,0,False,False,1,5.076923076923077,False,False,False,False
33,69,Simple,Dates & Timestamps,GPT,12,1,0.9166666666666666,6.4,0.25,0.16666666666666666,0.0,1,False,False,1,5.75,False,False,False,False
34,67,Medium,Equations & Formulas,GPT,12,1,0.9166666666666666,7.6,0.3333333333333333,0.16666666666666666,0.0,0,False,False,1,5.583333333333333,False,False,False,False
35,70,Medium,Tables,GPT,13,1,0.9230769230769231,8.8,0.23076923076923078,0.23076923076923078,0.07692307692307693,0,False,False,1,5.384615384615385,False,False,False,False
36,53,Simple,Numerical Data,GPT,10,1,1.0,12.7,0.1,0.2,0.1,1,False,False,0,5.3,False,False,False,False
37,66,Complex,Graphs & Charts,GPT,13,1,0.8461538461538461,6.4,0.23076923076923078,0.15384615384615385,0.0,0,False,False,1,5.076923076923077,False,False,False,False
38,68,Simple,Dates & Timestamps,GPT,12,1,0.9166666666666666,6.4,0.25,0.16666666666666666,0.0,0,False,False,1,5.666666666666667,False,False,False,False
39,62,Medium,Equations & Formulas,GPT,11,1,0.9090909090909091,8.4,0.2727272727272727,0.18181818181818182,0.0,0,False,False,1,5.636363636363637,False,False,False,False
40,73,Medium,Tables,GPT,13,1,0.9230769230769231,8.8,0.23076923076923078,0.23076923076923078,0.07692307692307693,0,False,False,1,5.615384615384615,False,False,False,False
41,64,Simple,Numerical Data,GPT,11,1,1.0,13.1,0.18181818181818182,0.18181818181818182,0.09090909090909091,1,False,False,0,5.818181818181818,False,False,False,False
42,66,Complex,Graphs & Charts,GPT,13,1,0.8461538461538461,6.4,0.23076923076923078,0.15384615384615385,0.0,0,False,False,1,5.076923076923077,False,False,False,False
