PID,prompt_length,complexity,data_type,module,num_tokens,num_sentences,lexical_diversity,readability,noun_ratio,verb_ratio,adjective_ratio,num_named_entities,contains_table,contains_list,redundancy_score,compression_ratio,contains_numbers,contains_chain_of_thought,contains_output_constraints,is_multi_turn,LLM
0,60,Simple,"['Text', 'Numerical Data']",document_extraction,11,1,0.9090909090909092,8.4,0.2727272727272727,0.1818181818181818,0.0,1,False,False,1,5.454545454545454,False,False,False,False,GPT
1,55,Simple,['Tables'],document_extraction,10,1,1.0,9.2,0.2,0.2,0.0,0,False,False,0,5.5,False,False,False,False,GPT
2,95,Simple,['Text'],document_extraction,17,1,0.9411764705882352,10.3,0.2352941176470588,0.1764705882352941,0.0,0,False,False,1,5.588235294117647,False,False,False,False,GPT
3,97,Simple,['Dates & Timestamps'],document_extraction,19,1,0.8421052631578947,9.5,0.3157894736842105,0.1052631578947368,0.0526315789473684,0,False,False,2,5.105263157894737,False,False,False,False,GPT
4,71,Simple,"['Numerical Data', 'Text']",document_extraction,13,1,1.0,9.9,0.1538461538461538,0.1538461538461538,0.0769230769230769,1,False,False,1,5.461538461538462,False,False,False,False,GPT
5,83,Simple,['Numerical Data'],document_extraction,16,1,0.875,9.1,0.25,0.125,0.0,0,False,False,1,5.1875,False,False,False,False,GPT
6,63,Simple,['Text'],document_extraction,11,1,0.9090909090909092,6.0,0.3636363636363636,0.0909090909090909,0.0909090909090909,0,False,False,1,5.727272727272728,False,False,False,False,GPT
7,61,Simple,['Text'],document_extraction,11,1,0.9090909090909092,8.4,0.2727272727272727,0.1818181818181818,0.0,0,False,False,1,5.545454545454546,False,False,False,False,GPT
8,66,Simple,['Graphs & Charts'],document_extraction,13,1,0.9230769230769232,5.2,0.2307692307692307,0.0769230769230769,0.0769230769230769,0,False,False,1,5.076923076923077,False,False,False,False,GPT
9,80,Simple,"['Text', 'Numerical Data']",document_extraction,15,1,0.8666666666666667,6.4,0.2666666666666666,0.1333333333333333,0.0,0,False,False,1,5.333333333333333,False,False,False,False,GPT
10,71,Simple,['Text'],document_extraction,14,1,0.8571428571428571,7.2,0.2857142857142857,0.1428571428571428,0.0,0,False,False,1,5.071428571428571,False,False,False,False,GPT
11,70,Simple,['Dates & Timestamps'],document_extraction,16,1,0.8125,7.6,0.25,0.125,0.0,1,False,False,1,4.375,False,False,False,False,GPT
12,65,Simple,['Equations & Formulas'],document_extraction,11,1,0.9090909090909092,10.7,0.2727272727272727,0.0909090909090909,0.0909090909090909,0,False,False,1,5.909090909090909,False,False,False,False,Claude
13,96,Simple,['Text'],document_extraction,17,1,0.8823529411764706,8.0,0.2352941176470588,0.1176470588235294,0.0588235294117647,0,False,False,1,5.647058823529412,False,False,False,False,GPT
14,81,Simple,['Text'],document_extraction,13,1,0.9230769230769232,10.3,0.2307692307692307,0.2307692307692307,0.0769230769230769,0,False,False,1,6.230769230769231,False,False,False,False,GPT
15,77,Simple,"['Text', 'Numerical Data']",document_extraction,15,1,0.8666666666666667,6.4,0.3333333333333333,0.0666666666666666,0.0,0,False,False,1,5.133333333333334,False,False,False,False,GPT
16,77,Simple,['Dates & Timestamps'],document_extraction,15,1,0.8666666666666667,6.4,0.2666666666666666,0.1333333333333333,0.0,1,False,False,1,5.133333333333334,False,False,False,False,GPT
17,69,Simple,"['Graphs & Charts', 'Numerical Data']",document_extraction,14,1,0.8571428571428571,6.0,0.3571428571428571,0.0714285714285714,0.0,0,False,False,1,4.928571428571429,False,False,False,False,GPT
18,66,Simple,['Text'],document_extraction,12,1,0.9166666666666666,6.4,0.4166666666666667,0.0833333333333333,0.0,0,False,False,1,5.5,False,False,False,False,Claude
19,73,Simple,['Numerical Data'],document_extraction,14,1,0.8571428571428571,8.4,0.2142857142857142,0.1428571428571428,0.0714285714285714,0,False,False,1,5.214285714285714,False,False,False,False,Claude
20,56,Simple,"['Text', 'Numerical Data']",document_extraction,10,1,0.9,8.0,0.4,0.1,0.0,0,False,False,1,5.6,False,False,False,False,GPT
21,63,Simple,['Text'],document_extraction,12,1,0.8333333333333334,6.4,0.25,0.1666666666666666,0.0,0,False,False,1,5.25,False,False,False,False,Claude
22,53,Simple,['Equations & Formulas'],document_extraction,10,1,0.9,6.8,0.2,0.2,0.0,0,False,False,1,5.3,False,False,False,False,GPT
23,83,Simple,"['Text', 'Numerical Data']",document_extraction,15,1,0.9333333333333332,10.7,0.3333333333333333,0.1333333333333333,0.0,0,False,False,1,5.533333333333333,False,False,False,False,GPT
24,63,Simple,['Text'],document_extraction,12,1,0.8333333333333334,6.4,0.25,0.1666666666666666,0.0,0,False,False,1,5.25,False,False,False,False,GPT
25,75,Simple,['Numerical Data'],document_extraction,13,1,1.0,10.3,0.2307692307692307,0.1538461538461538,0.0769230769230769,0,False,False,1,5.769230769230769,False,False,False,False,GPT
26,73,Simple,['Text'],document_extraction,13,1,0.9230769230769232,9.2,0.3076923076923077,0.1538461538461538,0.0,0,False,False,1,5.615384615384615,False,False,False,False,GPT
27,93,Simple,['Text'],document_extraction,16,1,0.875,8.0,0.25,0.125,0.0625,0,False,False,1,5.8125,False,False,False,False,Claude
28,82,Simple,['Text'],document_extraction,14,1,0.8571428571428571,7.2,0.2142857142857142,0.2142857142857142,0.0,0,False,False,1,5.857142857142857,False,False,False,False,GPT
29,83,Simple,"['Text', 'Numerical Data']",document_extraction,15,1,0.9333333333333332,10.7,0.3333333333333333,0.1333333333333333,0.0,0,False,False,1,5.533333333333333,False,False,False,False,GPT
30,75,Simple,['Numerical Data'],document_extraction,13,1,1.0,10.3,0.2307692307692307,0.1538461538461538,0.0769230769230769,0,False,False,1,5.769230769230769,False,False,False,False,llma
31,83,Simple,"['Text', 'Numerical Data']",document_extraction,14,1,0.9285714285714286,10.7,0.3571428571428571,0.1428571428571428,0.0,0,False,False,1,5.928571428571429,False,False,False,False,GPT
32,77,Simple,"['Text', 'Numerical Data']",document_extraction,15,1,0.8666666666666667,6.4,0.3333333333333333,0.0666666666666666,0.0,0,False,False,1,5.133333333333334,False,False,False,False,GPT
33,77,Simple,['Dates & Timestamps'],document_extraction,15,1,0.8666666666666667,6.4,0.2666666666666666,0.1333333333333333,0.0,1,False,False,1,5.133333333333334,False,False,False,False,GPT
34,69,Simple,"['Graphs & Charts', 'Numerical Data']",document_extraction,14,1,0.8571428571428571,6.0,0.3571428571428571,0.0714285714285714,0.0,0,False,False,1,4.928571428571429,False,False,False,False,Claude
35,83,Simple,['Text'],document_extraction,15,1,0.8666666666666667,8.8,0.3333333333333333,0.1333333333333333,0.0,0,False,False,1,5.533333333333333,False,False,False,False,GPT
36,73,Simple,['Numerical Data'],document_extraction,14,1,0.8571428571428571,8.4,0.2142857142857142,0.1428571428571428,0.0714285714285714,0,False,False,1,5.214285714285714,False,False,False,False,GPT
37,81,Simple,"['Text', 'Numerical Data']",document_extraction,14,1,0.9285714285714286,9.5,0.3571428571428571,0.1428571428571428,0.0,0,False,False,1,5.785714285714286,False,False,False,False,Mistral
38,63,Simple,['Text'],document_extraction,12,1,0.8333333333333334,6.4,0.25,0.1666666666666666,0.0,0,False,False,1,5.25,False,False,False,False,GPT
39,53,Simple,['Equations & Formulas'],document_extraction,10,1,0.9,6.8,0.2,0.2,0.0,0,False,False,1,5.3,False,False,False,False,GPT
40,83,Simple,"['Text', 'Numerical Data']",document_extraction,15,1,0.9333333333333332,10.7,0.3333333333333333,0.1333333333333333,0.0,0,False,False,1,5.533333333333333,False,False,False,False,GPT
41,63,Simple,['Text'],document_extraction,12,1,0.8333333333333334,6.4,0.25,0.1666666666666666,0.0,0,False,False,1,5.25,False,False,False,False,Claude
42,75,Simple,['Numerical Data'],document_extraction,13,1,1.0,10.3,0.2307692307692307,0.1538461538461538,0.0769230769230769,0,False,False,1,5.769230769230769,False,False,False,False,GPT
43,73,Simple,['Text'],document_extraction,13,1,0.9230769230769232,9.2,0.3076923076923077,0.1538461538461538,0.0,0,False,False,1,5.615384615384615,False,False,False,False,GPT
44,93,Simple,['Text'],document_extraction,16,1,0.875,8.0,0.25,0.125,0.0625,0,False,False,1,5.8125,False,False,False,False,GPT
45,82,Simple,['Text'],document_extraction,14,1,0.8571428571428571,7.2,0.2142857142857142,0.2142857142857142,0.0,0,False,False,1,5.857142857142857,False,False,False,False,GPT
46,83,Simple,"['Text', 'Numerical Data']",document_extraction,15,1,0.9333333333333332,10.7,0.3333333333333333,0.1333333333333333,0.0,0,False,False,1,5.533333333333333,False,False,False,False,Claude
47,75,Simple,['Numerical Data'],document_extraction,13,1,1.0,10.3,0.2307692307692307,0.1538461538461538,0.0769230769230769,0,False,False,1,5.769230769230769,False,False,False,False,GPT
48,83,Simple,"['Text', 'Numerical Data']",document_extraction,14,1,0.9285714285714286,10.7,0.3571428571428571,0.1428571428571428,0.0,0,False,False,1,5.928571428571429,False,False,False,False,GPT
