PID,prompt_length,complexity,data_type,module,LLM_PRE,num_tokens,num_sentences,lexical_diversity,readability,noun_ratio,verb_ratio,adjective_ratio,num_named_entities,contains_table,contains_list,redundancy_score,compression_ratio,contains_numbers,contains_chain_of_thought,contains_output_constraints,is_multi_turn
0,60,Simple,"['Text', 'Numerical Data']",document_extraction,GPT,11,1,0.9090909090909091,8.4,0.2727272727272727,0.18181818181818182,0.0,1,False,False,1,5.454545454545454,False,False,False,False
1,55,Simple,['Tables'],document_extraction,GPT,10,1,1.0,9.2,0.2,0.2,0.0,0,False,False,0,5.5,False,False,False,False
2,95,Simple,['Text'],document_extraction,GPT,17,1,0.9411764705882353,10.3,0.23529411764705882,0.17647058823529413,0.0,0,False,False,1,5.588235294117647,False,False,False,False
3,97,Simple,['Dates & Timestamps'],document_extraction,GPT,19,1,0.8421052631578947,9.5,0.3157894736842105,0.10526315789473684,0.05263157894736842,0,False,False,2,5.105263157894737,False,False,False,False
4,71,Simple,"['Numerical Data', 'Text']",document_extraction,GPT,13,1,1.0,9.9,0.15384615384615385,0.15384615384615385,0.07692307692307693,1,False,False,1,5.461538461538462,False,False,False,False
5,83,Simple,['Numerical Data'],document_extraction,GPT,16,1,0.875,9.1,0.25,0.125,0.0,0,False,False,1,5.1875,False,False,False,False
6,63,Simple,['Text'],document_extraction,GPT,11,1,0.9090909090909091,6.0,0.36363636363636365,0.09090909090909091,0.09090909090909091,0,False,False,1,5.7272727272727275,False,False,False,False
7,61,Simple,['Text'],document_extraction,GPT,11,1,0.9090909090909091,8.4,0.2727272727272727,0.18181818181818182,0.0,0,False,False,1,5.545454545454546,False,False,False,False
8,66,Simple,['Graphs & Charts'],document_extraction,GPT,13,1,0.9230769230769231,5.2,0.23076923076923078,0.07692307692307693,0.07692307692307693,0,False,False,1,5.076923076923077,False,False,False,False
9,80,Simple,"['Text', 'Numerical Data']",document_extraction,GPT,15,1,0.8666666666666667,6.4,0.26666666666666666,0.13333333333333333,0.0,0,False,False,1,5.333333333333333,False,False,False,False
10,71,Simple,['Text'],document_extraction,GPT,14,1,0.8571428571428571,7.2,0.2857142857142857,0.14285714285714285,0.0,0,False,False,1,5.071428571428571,False,False,False,False
11,70,Simple,['Dates & Timestamps'],document_extraction,GPT,16,1,0.8125,7.6,0.25,0.125,0.0,1,False,False,1,4.375,False,False,False,False
12,65,Simple,['Equations & Formulas'],document_extraction,GPT,11,1,0.9090909090909091,10.7,0.2727272727272727,0.09090909090909091,0.09090909090909091,0,False,False,1,5.909090909090909,False,False,False,False
13,96,Simple,['Text'],document_extraction,GPT,17,1,0.8823529411764706,8.0,0.23529411764705882,0.11764705882352941,0.058823529411764705,0,False,False,1,5.647058823529412,False,False,False,False
14,81,Simple,['Text'],document_extraction,GPT,13,1,0.9230769230769231,10.3,0.23076923076923078,0.23076923076923078,0.07692307692307693,0,False,False,1,6.230769230769231,False,False,False,False
15,77,Simple,"['Text', 'Numerical Data']",document_extraction,GPT,15,1,0.8666666666666667,6.4,0.3333333333333333,0.06666666666666667,0.0,0,False,False,1,5.133333333333334,False,False,False,False
16,77,Simple,['Dates & Timestamps'],document_extraction,GPT,15,1,0.8666666666666667,6.4,0.26666666666666666,0.13333333333333333,0.0,1,False,False,1,5.133333333333334,False,False,False,False
